Product Id,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product HS Code,Product Origin Country,Product MID Code,Product Material,Product Collection Id,Product Type Id,Product Tag 1,Product Discountable,Product External Id,Variant Id,Variant Title,Variant SKU,Variant Barcode,Variant Allow Backorder,Variant Manage Inventory,Variant Weight,Variant Length,Variant Width,Variant Height,Variant HS Code,Variant Origin Country,Variant MID Code,Variant Material,Variant Price EUR,Variant Price USD,Variant Option 1 Name,Variant Option 1 Value,Product Image 1 Url,Product Image 2 Url
,60-lv-classic-business-men-s-sunglasses-polarized-metal-full-frame-sunshade-trendy-new-outdoor-sport-shades,"$60 LV classic business men's sunglasses, polarized metal full-frame sunshade, trendy new outdoor sport shades",,,published,http://localhost:8000/images/imports/%2460%20LV%20classic%20business%20men's%20sunglasses%2C%20polarized%20metal%20full-frame%20sunshade%2C%20trendy%20new%20outdoor%20sport%20shades/13409871900523275.jpg,,,,,,,,,,,,TRUE,,,One Size,,,FALSE,TRUE,,,,,,,,,,60,Size,One Size,http://localhost:8000/images/imports/%2460%20LV%20classic%20business%20men's%20sunglasses%2C%20polarized%20metal%20full-frame%20sunshade%2C%20trendy%20new%20outdoor%20sport%20shades/13409871900523275.jpg,http://localhost:8000/images/imports/%2460%20LV%20classic%20business%20men's%20sunglasses%2C%20polarized%20metal%20full-frame%20sunshade%2C%20trendy%20new%20outdoor%20sport%20shades/13409872006347349.jpg
,1955-gucci-retro-horsebit-bag,1955 Gucci Retro Horsebit Bag,,$117 Full set packaging The beautiful 1955 Gucci Retro Horsebit Bag It really looks great! Retail counter matching high version The classic Horsebit buckle + Monogram + piping design I truly love it! Size: $25 x 18$ cm,published,http://localhost:8000/images/imports/1955%20Gucci%20Retro%20Horsebit%20Bag/13409874713552217.jpg,,,,,,,,,,,,TRUE,,,One Size,,,FALSE,TRUE,,,,,,,,,,,Size,One Size,http://localhost:8000/images/imports/1955%20Gucci%20Retro%20Horsebit%20Bag/13409874713552217.jpg,http://localhost:8000/images/imports/1955%20Gucci%20Retro%20Horsebit%20Bag/13409874826824809.jpg
,dior-lady-d-lite-embroidered-bag,DIOR Lady D-Lite Embroidered Bag,,"$159 Replicated Version, Original Fabric DIOR | Lady D-Lite Embroidered Bag Embroidered Lady Dior with cross-body strap. Dior's most representative handbag, with countless fans~ Dior Lady D-Lite~ Born in the early 1990s and has a special legendary connection with Princess Diana, hence it is also called the Lady Dior bag. The latest model features Cannage embroidery~ The level of refinement has more than just increased one notch. The ritual feeling of unboxing~ First, enjoy the video~ It's as exquisite as a work of art. This bag focuses on handwork; every part is purely hand-finished, especially the embroidery edge and the handle area—can you feel it? The feature of this bag is the full three-dimensional embroidery, with over 100,000 embroidery stitches. The bag material is Italian imported waterproof environmentally friendly canvas. The bag comes with the currently most popular thick shoulder strap, bursting with fashion sense and a richer casual vibe~ Super versatile~ The capacity is great, and paired with a flap design, it feels completely secure. High-grade texture, perfect for pairing with a coat, etc. Bag size: 24cm",published,http://localhost:8000/images/imports/DIOR%20Lady%20D-Lite%20Embroidered%20Bag/13409875382509391.jpg,,,,,,,,,,,,TRUE,,,One Size,,,FALSE,TRUE,,,,,,,,,,,Size,One Size,http://localhost:8000/images/imports/DIOR%20Lady%20D-Lite%20Embroidered%20Bag/13409875382509391.jpg,http://localhost:8000/images/imports/DIOR%20Lady%20D-Lite%20Embroidered%20Bag/13409875389280533.jpg
,gucci-gucci-miami-2022,Gucci Gucci Miami 2022,,"$97 Women's Shoe Factory Gucci Gucci | Miami 2022 Summer Macaron Color Thick-soled Slippers Comfortable and versatile, Macaron coloring, the thick sole elongates the leg lines of the fairies , instantly turning them into long legs! Once on the foot, it's totally a holiday beach shoe. Imagine walking on the beach in these shoes—you won't sink into the sand at all. Sunset glow, dusk on the beach . And the silhouette picture on the beach of you smoothing your long hair, with your long dress flowing... The material of the outsole and upper is TU, so it's very comfortable, effectively relieving pressure on the foot. Shoe height is 4-5CM, super suitable for petite ladies who are not used to high heels; you walk very steadily in them. Sizes 35-40",published,http://localhost:8000/images/imports/Gucci%20Gucci%20Miami%202022/13409873708206692.jpg,,,,,,,,,,,,TRUE,,,One Size,,,FALSE,TRUE,,,,,,,,,,,Size,One Size,http://localhost:8000/images/imports/Gucci%20Gucci%20Miami%202022/13409873708206692.jpg,http://localhost:8000/images/imports/Gucci%20Gucci%20Miami%202022/13409873713344573.jpg
,gucci-men-s-new-backpack,GUCCI Men's New Backpack,,"$107 GUCCI Men's New Backpack The new men's 2025 early spring collection backpack, featuring a double G logo embossed on cowhide with a brand new grained texture. The design boasts the enduring charm of the brand's identity and features multiple layered pockets for storage, plus a D-ring for attaching various accessories.",published,http://localhost:8000/images/imports/GUCCI%20Men's%20New%20Backpack/13409875065291713.jpg,,,,,,,,,,,,TRUE,,,One Size,,,FALSE,TRUE,,,,,,,,,,,Size,One Size,http://localhost:8000/images/imports/GUCCI%20Men's%20New%20Backpack/13409875065291713.jpg,http://localhost:8000/images/imports/GUCCI%20Men's%20New%20Backpack/13409875075677265.jpg
,lv-backpack-multi-purpose-bag-the-montsouris-bb-backpack,LV Backpack Multi-purpose Bag The Montsouris BB Backpack,,"$130 LV Backpack Multi-purpose Bag The Montsouris BB Backpack, introduced in Winter 2020, in natural color mini (M45516 M45502). It is crafted from classic Monogram canvas and calfskin leather, forming a modern, compact shape. Its buckle and leather drawstring are derived from the original design launched in 1994. The top handle and removable, adjustable leather shoulder straps allow for multiple carrying options.",published,http://localhost:8000/images/imports/LV%20Backpack%20Multi-purpose%20Bag%20The%20Montsouris%20BB%20Backpack/13409875654011937.jpg,,,,,,,,,,,,TRUE,,,One Size,,,FALSE,TRUE,,,,,,,,,,,Size,One Size,http://localhost:8000/images/imports/LV%20Backpack%20Multi-purpose%20Bag%20The%20Montsouris%20BB%20Backpack/13409875654011937.jpg,http://localhost:8000/images/imports/LV%20Backpack%20Multi-purpose%20Bag%20The%20Montsouris%20BB%20Backpack/13409875664311171.jpg
,lv-pillow-bag,LV Pillow Bag,,,published,http://localhost:8000/images/imports/LV%20Pillow%20Bag/13409875881950406.jpg,,,,,,,,,,,,TRUE,,,One Size,,,FALSE,TRUE,,,,,,,,,,,Size,One Size,http://localhost:8000/images/imports/LV%20Pillow%20Bag/13409875881950406.jpg,http://localhost:8000/images/imports/LV%20Pillow%20Bag/13409875886032547.jpg
,miumiu-2022ss-new-high-version,MiuMiu 2022SS new High version,,"$118 Women's Shoes, Women's Clothing MiuMiu 2022/SS new High version Miu Miu Mary Janes // Patent leather patchwork // Lambskin lining // Genuine leather sole. Size 35-39 / Custom 34/40 no returns or exchanges.",published,http://localhost:8000/images/imports/MiuMiu%202022SS%20new%20High%20version/13409874168072646.jpg,,,,,,,,,,,,TRUE,,,One Size,,,FALSE,TRUE,,,,,,,,,,,Size,One Size,http://localhost:8000/images/imports/MiuMiu%202022SS%20new%20High%20version/13409874168072646.jpg,http://localhost:8000/images/imports/MiuMiu%202022SS%20new%20High%20version/13409874241815439.jpg
,new-folder,New folder,,$57 Company Level Adidas Adizero Goukana Adidas Versatile Comfortable Wear-Resistant Breathable Low-Top Casual Sports Running Shoes Dad ShoesItem No: JP7178Sizes: 36-45 with half sizesShipping Box Weight (Estimated): 1.2 kgShoe Price (RMB): $180$ (Original) $+ 140$ (Added) $= 320$ RMBPrice (USD): $320 { RMB} x 0.1415508 ~ $45.30$ (Rounded to $45$)Landing Price: $1.2 { kg} x $25 + $45 = $30 + $45 = $75$ (Rounded to $57$ for the heading),published,http://localhost:8000/images/imports/New%20folder/13409876785507845.jpg,,,,,,,,,,,,TRUE,,,One Size,,,FALSE,TRUE,,,,,,,,,,,Size,One Size,http://localhost:8000/images/imports/New%20folder/13409876785507845.jpg,http://localhost:8000/images/imports/New%20folder/13409876792500978.jpg
,nike-air-max-dn-comfortable-shock-absorbing,Nike Air Max Dn Comfortable Shock-Absorbing,,$52 Nike Air Max Dn Comfortable Shock-Absorbing Small Air Cushion Wear-Resistant Non-Slip Low-Top Lifestyle Sports Casual Running Shoes Unisex Ivory White HM5653-440Size: 36-46 Shipping Box Weight (Estimated): 1.2 kgShoe Price (RMB): $160$ (Original) $+ 140$ (Added) $= 300$ RMBPrice (USD): $300 { RMB} x 0.1415508 ~ $42.47$ (Rounded to $42$)Landing Price: $1.2 { kg} x $25 + $42 = $30 + $42 = $72$ (Rounded to $52$ for the heading),published,http://localhost:8000/images/imports/Nike%20Air%20Max%20Dn%20Comfortable%20Shock-Absorbing/13409876267313675.jpg,,,,,,,,,,,,TRUE,,,One Size,,,FALSE,TRUE,,,,,,,,,,,Size,One Size,http://localhost:8000/images/imports/Nike%20Air%20Max%20Dn%20Comfortable%20Shock-Absorbing/13409876267313675.jpg,http://localhost:8000/images/imports/Nike%20Air%20Max%20Dn%20Comfortable%20Shock-Absorbing/13409876275680337.jpg
